HARGA,LT,LB,JKT,JKM,GRS
28000000000,1100.0,700,5,6,1
19000000000,824.0,800,4,4,1
4700000000,500.0,400,4,3,1
4900000000,251.0,300,5,4,1
28000000000,1340.0,575,4,5,1
10000000000,460.0,300,4,4,1
7600000000,278.0,350,4,4,1
5250000000,511.0,300,3,2,1
670000000,70.0,69,3,2,0
480000000,66.0,42,2,1,0
10700000000,449.0,500,6,7,1
4200000000,109.0,188,2,3,1
8500000000,320.0,250,4,4,1
7000000000,384.0,400,4,4,1
20000000000,462.0,645,5,6,1
9500000000,212.0,300,4,4,1
13400000000,342.0,450,5,4,1
11000000000,410.0,700,4,4,1
5800000000,144.0,285,4,3,1
35000000000,985.0,400,4,3,1
14000000000,780.0,500,3,4,1
5000000000,217.0,450,4,4,1
39875000000,1362.5,700,4,4,1
7250000000,210.0,300,4,3,1
5200000000,110.0,200,3,3,1
25000000000,760.0,650,4,4,1
5680000000,151.0,245,3,3,1
10500000000,220.0,350,4,3,1
7050000000,128.0,315,3,3,1
9300000000,235.0,270,3,3,0
6500000000,100.0,250,4,3,1
39875000000,470.0,1000,5,5,1
3000000000,75.0,150,4,2,1
39875000000,770.0,500,4,4,1
19500000000,610.0,1000,6,5,1
20900000000,754.0,500,4,4,1
15500000000,440.0,350,4,3,1
14000000000,410.0,800,4,4,1
39000000000,973.0,1050,4,3,1
8000000000,251.0,320,4,4,1
20000000000,780.0,600,4,4,1
17500000000,954.0,600,4,3,1
34000000000,1186.0,900,6,5,1
7500000000,186.0,380,4,4,1
18500000000,358.0,500,4,5,1
5000000000,217.0,200,4,3,1
16000000000,535.0,600,4,4,1
13000000000,330.0,500,3,3,1
8000000000,250.0,320,4,3,1
17500000000,477.0,530,4,4,1
10500000000,282.0,450,4,4,1
35500000000,1312.0,850,5,4,1
16000000000,860.0,500,4,4,1
11700000000,246.0,347,4,3,1
18500000000,443.0,450,4,3,1
17500000000,389.0,400,4,3,1
6500000000,300.0,450,4,3,1
18500000000,433.0,600,4,4,1
25000000000,987.0,400,4,3,1
23000000000,817.0,500,6,4,1
12990000000,876.0,428,5,4,1
15000000000,887.0,300,3,2,1
13000000000,384.0,425,5,4,1
33000000000,458.0,400,4,4,1
9500000000,200.0,235,3,3,1
5750000000,144.0,285,4,4,1
19000000000,358.0,600,4,5,0
19000000000,550.0,480,4,4,1
21500000000,950.0,300,5,4,1
5200000000,164.0,140,3,3,1
14000000000,460.0,400,4,3,1
39875000000,1362.5,1050,6,4,1
6250000000,158.0,400,4,2,1
29000000000,1186.0,800,9,8,1
8000000000,323.0,317,5,4,1
8500000000,502.0,250,4,4,1
18000000000,916.0,147,5,7,1
4500000000,109.0,188,2,3,1
10000000000,395.0,450,5,5,1
4250000000,152.0,275,3,3,1
4500000000,138.0,250,5,4,0
2800000000,100.0,150,3,3,0
15000000000,1362.5,800,4,3,1
7800000000,188.0,367,3,3,1
21000000000,500.0,525,4,5,1
38000000000,1229.0,800,4,4,1
29950000000,1000.0,600,4,4,1
7500000000,350.0,350,6,6,0
25000000000,987.0,400,4,3,0
36000000000,626.0,500,5,3,1
20000000000,472.0,650,6,5,0
29000000000,1186.0,600,8,9,0
5500000000,234.0,115,2,2,1
16590000000,405.0,495,4,4,1
33500000000,1000.0,800,5,6,0
21000000000,802.0,904,4,3,1
7720000000,125.0,298,4,4,1
22000000000,1019.0,650,4,3,1
18500000000,180.0,600,4,4,1
16500000000,933.0,600,5,5,1
11980000000,241.0,572,4,5,1
8500000000,250.0,250,4,4,1
7700000000,190.0,350,3,2,1
4200000000,270.0,300,4,4,1
15700000000,860.0,325,5,4,1
17000000000,916.0,147,5,7,1
8000000000,323.0,317,5,4,1
9550000000,251.0,288,3,3,1
7600000000,278.0,350,4,4,1
10200000000,320.0,360,6,4,1
5900000000,240.0,350,4,4,1
6000000000,178.0,309,4,3,1
10800000000,438.0,540,6,5,1
39875000000,1362.5,1050,7,6,1
14000000000,714.0,750,5,3,0
6900000000,358.0,450,4,3,1
39875000000,1362.5,1050,5,5,1
17500000000,1056.0,600,5,5,1
3500000000,100.0,156,5,4,1
15500000000,340.0,500,4,4,1
6900000000,188.0,350,3,3,0
16000000000,407.0,575,5,4,1
11900000000,241.0,571,4,5,1
7500000000,188.0,351,3,3,1
39875000000,1362.5,700,4,4,1
12500000000,371.0,300,4,4,0
11000000000,438.0,540,8,4,0
39875000000,1362.5,1050,6,6,1
12000000000,512.0,350,3,4,0
6500000000,230.0,400,4,4,1
13940000000,539.0,610,4,4,0
5700000000,168.0,170,3,3,0
8000000000,350.0,350,10,5,0
6900000000,128.0,315,3,3,0
8000000000,190.0,420,4,4,1
5500000000,107.0,311,4,3,1
10700000000,400.0,300,4,3,1
21000000000,1042.0,552,5,4,1
6500000000,200.0,300,4,4,1
16000000000,447.0,500,4,4,1
13500000000,385.0,525,5,4,1
15750000000,1060.0,375,3,2,1
23000000000,558.0,553,8,6,1
21000000000,1042.0,550,7,6,1
19300000000,1287.0,700,5,3,1
4300000000,124.0,187,3,3,1
20000000000,550.0,650,4,4,1
9550000000,251.0,288,4,4,0
22000000000,455.0,570,4,5,1
23000000000,650.0,600,5,5,1
